               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.049369,            0.009496,           0.0078594,             0.84362,              0.6909,             0.75594,             0.38142,            0.047709,              0.0098,           0.0097561,            0.008812,            0.008812,            0.008812
                  38,            0.049774,           0.0094127,           0.0080756,             0.89267,             0.73757,             0.77961,             0.42462,            0.044089,           0.0094671,            0.010244,            0.008779,            0.008779,            0.008779
                  39,            0.048369,             0.01043,           0.0084279,              0.9399,             0.73567,             0.80619,             0.41292,            0.045269,           0.0094805,           0.0088835,            0.008746,            0.008746,            0.008746
                  40,            0.048568,            0.010053,           0.0073213,             0.86898,             0.74013,             0.78575,             0.42243,            0.044718,           0.0096493,           0.0083637,            0.008713,            0.008713,            0.008713
                  41,            0.048302,           0.0092646,            0.006497,             0.87569,             0.72148,             0.78356,             0.41947,             0.04398,           0.0096788,           0.0090828,             0.00868,             0.00868,             0.00868
                  42,            0.047775,           0.0097781,           0.0071698,             0.84659,             0.73361,             0.77763,             0.37255,            0.047444,            0.010036,           0.0092821,            0.008647,            0.008647,            0.008647
                  43,            0.046878,           0.0092411,           0.0066118,             0.83935,             0.70357,             0.76827,             0.39417,            0.046868,            0.010063,            0.010908,            0.008614,            0.008614,            0.008614
                  44,            0.047341,           0.0093555,           0.0068685,             0.87414,             0.74709,             0.77824,             0.39504,            0.045533,           0.0098953,             0.01001,            0.008581,            0.008581,            0.008581
                  45,            0.047453,           0.0092648,           0.0065709,             0.89055,             0.73734,             0.79973,             0.46396,            0.041849,           0.0097551,           0.0092335,            0.008548,            0.008548,            0.008548
                  46,            0.045623,           0.0096317,           0.0058878,              0.8844,             0.73492,             0.80394,             0.43828,            0.043363,           0.0098495,           0.0098629,            0.008515,            0.008515,            0.008515
                  47,            0.046412,           0.0099767,           0.0065906,             0.80563,             0.76827,             0.80004,             0.43328,            0.042914,           0.0096531,           0.0093517,            0.008482,            0.008482,            0.008482
                  48,             0.04594,           0.0097073,           0.0065559,             0.87421,             0.72787,             0.79301,             0.41663,            0.045523,           0.0098381,            0.010433,            0.008449,            0.008449,            0.008449
                  49,            0.044784,           0.0090834,           0.0059964,             0.86073,             0.74414,             0.80213,             0.44521,            0.041727,           0.0095568,           0.0088482,            0.008416,            0.008416,            0.008416
                  50,            0.045185,           0.0096714,           0.0057984,             0.88967,             0.73172,             0.81504,              0.4321,            0.044315,           0.0096245,            0.008513,            0.008383,            0.008383,            0.008383
                  51,            0.044285,           0.0093552,           0.0063282,             0.94801,             0.76883,             0.83386,             0.47603,            0.040546,           0.0094461,           0.0077901,             0.00835,             0.00835,             0.00835
                  52,            0.045195,           0.0095594,           0.0061408,             0.88675,             0.77227,             0.82194,             0.44357,            0.043089,           0.0096226,           0.0082974,            0.008317,            0.008317,            0.008317
                  53,            0.044591,            0.009075,           0.0064944,             0.93068,             0.68541,             0.79436,             0.40915,            0.043479,           0.0094881,             0.01149,            0.008284,            0.008284,            0.008284
                  54,            0.045284,           0.0091981,           0.0066681,             0.91678,             0.75118,             0.81647,              0.4633,            0.044043,           0.0097351,           0.0094919,            0.008251,            0.008251,            0.008251
                  55,             0.04382,           0.0094908,           0.0057372,             0.92679,             0.74514,             0.82258,             0.46811,            0.042813,           0.0097961,            0.010023,            0.008218,            0.008218,            0.008218
                  56,            0.044338,           0.0092782,           0.0055153,             0.92553,             0.74887,             0.82222,             0.47082,            0.040837,           0.0095406,           0.0084968,            0.008185,            0.008185,            0.008185
                  57,            0.043803,           0.0094969,           0.0056871,             0.89555,             0.72509,             0.79971,             0.43786,            0.043406,           0.0094671,           0.0075879,            0.008152,            0.008152,            0.008152
                  58,            0.043457,           0.0087744,           0.0057226,             0.91573,             0.75451,             0.82959,             0.46907,            0.041229,           0.0094805,           0.0088229,            0.008119,            0.008119,            0.008119
                  59,            0.043651,           0.0095096,           0.0053301,             0.89692,             0.76826,              0.8085,             0.48807,            0.040666,           0.0094481,           0.0087562,            0.008086,            0.008086,            0.008086
                  60,            0.043954,           0.0089827,           0.0053388,             0.85415,             0.78498,             0.82462,             0.44341,            0.042361,           0.0093021,           0.0091782,            0.008053,            0.008053,            0.008053
                  61,            0.042246,           0.0091898,           0.0058031,             0.84654,             0.76027,             0.81371,              0.4566,            0.041346,            0.009964,             0.01086,             0.00802,             0.00802,             0.00802
                  62,            0.043192,           0.0089238,           0.0052065,             0.89012,             0.75655,             0.82691,             0.50303,            0.039884,           0.0092754,            0.010251,            0.007987,            0.007987,            0.007987
                  63,            0.042804,           0.0089949,           0.0049316,             0.93025,             0.74053,             0.82233,             0.47287,            0.041503,            0.009511,            0.010723,            0.007954,            0.007954,            0.007954
                  64,            0.044201,           0.0086427,           0.0056416,             0.88831,              0.8067,             0.82909,             0.47449,             0.03988,           0.0091925,           0.0088954,            0.007921,            0.007921,            0.007921
                  65,            0.040967,           0.0088927,            0.005214,             0.93542,             0.73709,             0.82056,             0.46839,            0.040056,           0.0092802,           0.0097342,            0.007888,            0.007888,            0.007888
                  66,            0.042245,           0.0083166,           0.0052691,             0.91214,             0.72339,             0.81772,             0.49848,            0.040722,           0.0091953,            0.011771,            0.007855,            0.007855,            0.007855
                  67,            0.042005,           0.0091971,           0.0046795,             0.89641,             0.74484,             0.84325,             0.49491,            0.040793,           0.0091734,           0.0087891,            0.007822,            0.007822,            0.007822
                  68,            0.042036,           0.0090217,           0.0048225,             0.85426,             0.79504,             0.83642,             0.49828,            0.039025,           0.0092974,           0.0083971,            0.007789,            0.007789,            0.007789
                  69,            0.040801,           0.0082066,            0.004658,             0.89593,             0.74421,             0.80896,             0.47971,            0.039926,           0.0091515,           0.0079548,            0.007756,            0.007756,            0.007756
                  70,            0.041466,           0.0094852,           0.0049533,             0.92919,             0.78494,             0.84535,             0.48929,            0.039256,            0.009059,           0.0079124,            0.007723,            0.007723,            0.007723
                  71,            0.040925,           0.0085103,           0.0048328,             0.93114,             0.75029,             0.84972,             0.49956,            0.039652,           0.0090599,           0.0079856,             0.00769,             0.00769,             0.00769
                  72,            0.040971,            0.008958,           0.0046188,             0.88997,             0.75344,             0.81146,             0.47673,            0.039565,           0.0090637,            0.008328,            0.007657,            0.007657,            0.007657
                  73,            0.039397,           0.0086999,           0.0046794,             0.86756,             0.74813,             0.81136,             0.46398,            0.040893,           0.0094461,            0.009315,            0.007624,            0.007624,            0.007624
                  74,            0.041453,           0.0089892,           0.0046081,              0.9098,             0.78948,             0.82842,             0.49068,            0.038881,           0.0093851,           0.0085187,            0.007591,            0.007591,            0.007591
                  75,            0.038377,           0.0085682,           0.0042342,             0.92703,             0.80203,             0.85346,              0.5005,            0.039105,           0.0093832,           0.0078695,            0.007558,            0.007558,            0.007558
                  76,            0.039688,           0.0083945,           0.0042824,             0.86507,             0.80872,             0.84571,             0.50188,            0.038111,           0.0091934,           0.0081694,            0.007525,            0.007525,            0.007525
                  77,            0.038616,           0.0085828,           0.0050586,             0.85504,             0.83833,             0.85516,             0.48671,            0.038668,           0.0092182,           0.0069709,            0.007492,            0.007492,            0.007492
