                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0289,                0.71336,                0.96074,                 1.4753,                 0.8602,                0.94875,                0.79027,                0.63147,                 0.6822,                0.42733,                 1.0149,                 0.7512,                0.95466,                 1.3934,                0.86847,                0.94285,              0.0010303,              0.0010303,              0.0010303
                     25,                 1.0414,                0.72453,                0.94397,                 1.5166,                0.91415,                0.92343,                0.84811,                0.60168,                0.67874,                0.40718,                0.97827,                0.90039,                0.93085,                 1.4492,                 1.1574,                0.92583,              0.0010267,              0.0010267,              0.0010267
                     26,                 1.0085,                0.70126,                0.93148,                 1.4608,                 0.8501,                0.91252,                0.84795,                0.63035,                0.69976,                0.41731,                 1.0538,                0.84557,                0.97155,                 1.4635,                0.95804,                0.93284,               0.001023,               0.001023,               0.001023
                     27,                 1.0259,                0.67561,                0.93932,                 1.4513,                0.80965,                0.92537,                 0.7738,                0.64247,                 0.6915,                0.42752,                0.97437,                 0.7325,                0.95933,                 1.3706,                0.89637,                0.91901,              0.0010193,              0.0010193,              0.0010193
                     28,                 1.0232,                0.70585,                0.93471,                 1.5067,                0.86795,                0.91444,                0.79491,                0.65602,                0.69565,                0.40993,                0.98599,                0.85442,                0.95101,                 1.4114,                0.91966,                0.93278,              0.0010157,              0.0010157,              0.0010157
                     29,                0.97099,                 0.6463,                0.91646,                  1.441,                0.78741,                0.90582,                0.80271,                0.64153,                0.70439,                0.44152,                0.92675,                0.70883,                0.90789,                  1.345,                0.76495,                0.91015,               0.001012,               0.001012,               0.001012
                     30,                0.98702,                0.65419,                0.90863,                 1.4843,                0.74858,                0.89241,                0.83373,                0.69004,                0.73507,                0.42288,                 1.0165,                0.70956,                0.94326,                 1.4952,                 0.7851,                0.91954,              0.0010083,              0.0010083,              0.0010083
                     31,                0.96604,                0.63386,                 0.9143,                 1.4283,                0.73685,                0.90758,                0.88683,                0.67209,                0.73995,                0.44241,                 0.9591,                0.66865,                0.92596,                  1.307,                0.76151,                0.90491,              0.0010047,              0.0010047,              0.0010047
                     32,                0.92244,                0.58426,                0.90097,                 1.3784,                0.70039,                0.89892,                0.85968,                0.61407,                0.70584,                0.42724,                0.95844,                 1.0145,                0.93865,                 1.3741,                0.97941,                0.92786,               0.001001,               0.001001,               0.001001
                     33,                0.93715,                0.58224,                0.92363,                 1.3698,                0.69409,                0.91276,                0.83253,                0.67946,                0.71721,                0.44901,                0.94036,                 0.6509,                0.91236,                 1.2955,                0.78723,                 0.9056,             0.00099734,             0.00099734,             0.00099734
                     34,                 0.9454,                0.59995,                 0.9257,                 1.3744,                0.73594,                0.91472,                0.84011,                0.57395,                0.67542,                0.40006,                0.96832,                 0.7258,                0.93888,                 1.3568,                0.90266,                0.92208,             0.00099368,             0.00099368,             0.00099368
                     35,                0.95184,                0.60365,                0.89745,                 1.4337,                0.75358,                0.89169,                0.80537,                0.63592,                0.70857,                 0.4156,                0.97461,                0.79685,                0.91587,                 1.3312,                 0.7919,                0.91588,             0.00099001,             0.00099001,             0.00099001
                     36,                0.91922,                0.60281,                0.89202,                 1.3594,                0.71337,                0.89112,                0.80062,                0.59704,                0.69989,                 0.4523,                0.91137,                0.91067,                0.90591,                  1.253,                 1.0833,                0.87486,             0.00098635,             0.00098635,             0.00098635
                     37,                0.93157,                0.61781,                0.91558,                 1.3318,                0.73374,                0.90155,                0.83665,                0.61902,                0.68925,                 0.4498,                0.86762,                0.70672,                0.91807,                  1.263,                0.90468,                0.90408,             0.00098268,             0.00098268,             0.00098268
                     38,                 0.9187,                0.59324,                 0.8995,                 1.3325,                0.68584,                0.88647,                0.85544,                0.60685,                 0.6824,                0.44579,                0.92346,                 0.7189,                0.91112,                 1.3337,                0.88362,                0.89293,             0.00097901,             0.00097901,             0.00097901
                     39,                0.95943,                0.60444,                0.90357,                 1.4065,                0.71153,                0.88969,                0.81503,                0.62818,                0.70118,                0.45513,                0.90869,                0.71059,                0.92041,                 1.2896,                 0.9223,                0.90563,             0.00097535,             0.00097535,             0.00097535
