                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0823,                0.77534,                 0.9622,                 1.5019,                0.90222,                0.92799,                0.84283,                0.65795,                0.71055,                0.42506,                 1.0196,                0.73203,                0.92423,                 1.4536,                 0.8498,                0.93433,              0.0010303,              0.0010303,              0.0010303
                     25,                 1.0158,                0.76009,                0.94993,                 1.4229,                0.94496,                0.92423,                0.88238,                0.62073,                0.69481,                0.42245,                 1.0005,                0.73352,                0.93541,                 1.3877,                0.88384,                0.92539,              0.0010267,              0.0010267,              0.0010267
                     26,                  1.025,                0.71871,                0.91867,                 1.4202,                0.80031,                 0.8864,                0.80062,                0.64303,                0.67221,                0.41775,                 1.0611,                 0.8063,                 0.9606,                 1.4351,                0.84765,                0.92722,               0.001023,               0.001023,               0.001023
                     27,                 1.0688,                0.69122,                0.95902,                 1.4909,                 0.7995,                0.92863,                0.88493,                0.63218,                0.69497,                0.43642,                 1.0095,                0.77432,                 0.9664,                 1.4211,                0.81167,                0.91658,              0.0010193,              0.0010193,              0.0010193
                     28,                 1.0249,                0.67827,                 0.9305,                 1.5005,                0.81094,                0.91642,                0.78368,                0.66768,                0.68531,                0.41424,                0.99591,                0.65717,                0.92564,                  1.523,                0.72512,                0.91816,              0.0010157,              0.0010157,              0.0010157
                     29,                 1.0161,                 0.6694,                0.92943,                 1.4758,                0.78391,                0.90758,                0.76418,                 0.6844,                0.71135,                0.43198,                0.98586,                0.63045,                0.92787,                 1.3819,                0.71571,                0.90195,               0.001012,               0.001012,               0.001012
                     30,                 1.0063,                0.66274,                0.92661,                 1.4665,                0.77883,                0.91722,                 0.8274,                0.62813,                0.69398,                0.41953,                0.94803,                0.73363,                0.91705,                 1.4014,                0.83588,                0.94167,              0.0010083,              0.0010083,              0.0010083
                     31,                0.96263,                 0.6373,                0.91129,                 1.4041,                0.72155,                 0.9128,                0.82786,                0.67041,                0.71634,                  0.446,                  1.025,                0.69429,                0.92167,                 1.3873,                0.71865,                0.89819,              0.0010047,              0.0010047,              0.0010047
                     32,                0.99295,                0.67728,                0.90733,                 1.4362,                0.78538,                0.89502,                 0.8688,                0.57105,                0.70426,                0.43847,                0.97662,                0.68921,                0.91241,                 1.3676,                0.84659,                0.88585,               0.001001,               0.001001,               0.001001
                     33,                 0.9778,                0.64143,                0.92267,                  1.408,                0.79176,                 0.9153,                0.86198,                0.68689,                0.73502,                0.44929,                0.95891,                0.65782,                 0.9032,                 1.3799,                0.78038,                0.90235,             0.00099734,             0.00099734,             0.00099734
                     34,                0.98901,                0.60295,                0.91195,                 1.3866,                 0.7133,                0.88398,                0.83389,                0.70031,                0.74393,                0.46533,                0.94397,                 0.6069,                0.91222,                 1.3328,                0.70279,                0.89101,             0.00099368,             0.00099368,             0.00099368
                     35,                0.94771,                 0.6205,                0.91288,                 1.4251,                0.73837,                 0.8993,                0.84961,                0.66805,                0.71471,                0.46167,                0.94584,                0.70544,                0.90806,                 1.3142,                0.73554,                0.88263,             0.00099001,             0.00099001,             0.00099001
                     36,                0.91553,                0.62812,                0.90583,                 1.3929,                0.70315,                 0.8969,                0.86174,                0.66362,                0.73117,                0.45836,                0.95238,                0.63169,                0.92657,                 1.3338,                0.72907,                0.90224,             0.00098635,             0.00098635,             0.00098635
                     37,                 0.9784,                0.63132,                0.89697,                 1.4246,                0.78309,                0.88259,                0.85883,                0.68009,                0.72862,                0.46256,                0.93933,                 0.7376,                0.91136,                  1.326,                0.71498,                0.90315,             0.00098268,             0.00098268,             0.00098268
                     38,                0.92007,                0.59938,                0.88872,                 1.3694,                0.71323,                0.88595,                0.82517,                0.62119,                0.70363,                0.44517,                0.94076,                0.64631,                0.90386,                 1.3555,                0.80173,                0.88938,             0.00097901,             0.00097901,             0.00097901
                     39,                 0.8817,                0.59556,                0.88761,                 1.3772,                0.75006,                0.88939,                0.88258,                0.71297,                0.76344,                0.47915,                0.88897,                0.55905,                0.89089,                 1.2759,                0.65847,                0.87522,             0.00097535,             0.00097535,             0.00097535
                     40,                0.93049,                0.62627,                0.90856,                 1.3352,                0.70113,                0.90286,                0.91305,                0.66676,                 0.7304,                0.45905,                0.94109,                0.61594,                0.89146,                 1.3609,                0.62154,                0.90021,             0.00097168,             0.00097168,             0.00097168
                     41,                0.87998,                0.57626,                0.88683,                 1.2989,                0.67182,                0.88623,                0.88771,                0.71527,                0.75457,                 0.4859,                0.88732,                0.57353,                0.89471,                 1.3303,                0.58706,                0.89556,             0.00096801,             0.00096801,             0.00096801
                     42,                0.86815,                0.54268,                0.88243,                 1.3132,                0.66049,                0.88466,                0.91303,                0.70213,                0.76886,                 0.4707,                0.90674,                0.58382,                0.88725,                 1.3767,                0.62861,                0.88703,             0.00096435,             0.00096435,             0.00096435
                     43,                0.84546,                0.55785,                0.87446,                  1.263,                0.64593,                 0.8704,                0.86491,                0.73076,                0.75717,                0.48026,                0.88842,                0.54941,                0.88586,                 1.3461,                0.57342,                 0.8991,             0.00096068,             0.00096068,             0.00096068
                     44,                 0.9037,                0.53918,                 0.8807,                 1.3192,                 0.6617,                0.87141,                0.84922,                0.66566,                0.71911,                0.47339,                0.91899,                0.57195,                0.91117,                 1.2736,                0.65586,                0.90225,             0.00095702,             0.00095702,             0.00095702
                     45,                 0.8594,                0.55053,                0.87408,                 1.2315,                0.64791,                0.87036,                0.91484,                0.68144,                0.73392,                0.48447,                0.89404,                0.56082,                 0.8921,                 1.2896,                0.57525,                0.87939,             0.00095335,             0.00095335,             0.00095335
                     46,                0.91127,                0.55026,                0.90451,                 1.3036,                0.67793,                0.89806,                0.83281,                0.70974,                0.73478,                0.47689,                0.90669,                0.58831,                0.89181,                 1.2654,                0.68209,                 0.8726,             0.00094968,             0.00094968,             0.00094968
                     47,                0.93298,                0.80914,                0.90831,                   1.33,                 0.8049,                0.87669,                0.89398,                0.64552,                 0.7277,                0.47294,                0.87572,                0.59207,                0.88492,                 1.2565,                0.65984,                 0.8685,             0.00094602,             0.00094602,             0.00094602
                     48,                0.89262,                0.55325,                0.90427,                 1.2994,                0.65027,                0.88347,                 0.7626,                 0.6715,                0.71004,                0.46369,                 0.9087,                0.57848,                0.88548,                 1.2639,                0.75107,                0.86736,             0.00094235,             0.00094235,             0.00094235
                     49,                0.88105,                0.55146,                0.88423,                 1.2773,                0.66692,                0.86888,                0.90984,                0.65309,                0.73456,                0.47336,                0.90029,                 0.5511,                0.89013,                 1.3107,                0.65731,                 0.8799,             0.00093868,             0.00093868,             0.00093868
